"d061645","abdominoplasty","abdominoplasties","panniculectomy","panniculectomies"
"d057128","aberrometry","aberrometries"
"d000077982","progression free survival","event free survival"
"d065286","prophylactic surgical procedures","procedure preventive surgical"
"d016016","proportional hazards models","hazard model"
"d019736","prostheses and implants","artificial implant","prostheses","prosthesis","endoprosthesis","endoprostheses"
"d040081","protein array analysis","protein array analyses","array assay protein","proteinchip","microarray protein","microchip protein","biochip protein","chip protein","protein profiling chip","microarray protein profiling","array protein","analyses protein microarray","analysis protein microarray","assay protein microarray"
"d025941","protein interaction mapping",
"d011540","prussian blue reaction","reaction ferrocyanide"
"d062486","public health surveillance",
"d011653","pulmonary diffusing capacity",
"d011659","pulmonary gas exchange",
"d013510","pulmonary surgical procedures",
"d020551","pulse therapy drug","drug pulse therapy"
"d063177","pulse wave analysis","wave analyses pulse","pulse wave velocities","velocity pulse wave","time pulse transit","pulse wave transit time"
"d061208","pulsed radiofrequency treatment","pulsed radio frequency treatment"
"d000069473","radiation dose hypofractionation","minibeam radiotherapy","hypofractionation radiotherapy dose","hypofractionated dose radiation"
"d021101","radiation hybrid mapping","hybrid radiation","map radiation hybrid"
"d011833","radiation injuries experimental","injuries experimental radiation"
"d011856","radiographic image enhancement","radiography digital"
"d019252","radiography dental digital","scanora","dental radiovisiography","visualix","visualices","digital dental radiography direct","digora","sens a ray","sensaray"
"d011865","radioisotope dilution technique","dilution technic radioisotope"
"d011881","radiotherapy computer assisted","radiation therapy computer assisted","computer assisted radiotherapies","therapies computer assisted radiation"
"d011882","radiotherapy high energy","radiotherapy megavolt"
"d061089","radiotherapy image guided","image guided radiotherapies","image guided radiation therapy","therapies image guided radiation","target organ alignment radiotherapy"
"d050397","radiotherapy intensity modulated","intensity modulated radiotherapies","volumetric modulated arc therapy","arc therapies volumetric modulated","intensity modulated arc therapy","therapies intensity modulated arc","helical tomotherapies","tomotherapy helical"
"d061106","radiotherapy setup errors",
"d011933","reagent kits diagnostic","kit diagnostic reagent","in vitro diagnostic device","in vitro diagnostic medical device"
"d019651","reconstructive surgical procedures","reconstructive surgery","reconstructive surgeries","cosmetic reconstructive surgery","surgeries cosmetic reconstructive"
"d012000","recruitment detection audiologic","detection loudness recruitment","alternate binaural loudness balance test","short increment sensitivity index"
"d054140","refractive surgical procedures","refractive surgeries","surgery refractive","keratorefractive surgical procedure"
"d012033","refractory period psychological","refractory period psychologic"
"d058998","remote sensing technology","remote sensing technologies"
"d017582","renal replacement therapy","therapy kidney replacement","therapies renal replacement","replacement therapies kidney"
"d015203","reproducibility of results","reproducibility of findings","reliability of results","reliability epidemiology","validity epidemiology","validity of results","face validity","reliability and validity","test retest reliability","reliabilities test retest"
"d027724","reproductive techniques assisted","assisted reproductive technic","assisted reproductive technologies","assisted reproductive technology","technologies assisted reproductive"
"d035845","research embryo creation",
"d000074269","resonance frequency analysis","resonance frequency analyses"
"d012129","respiratory function tests","function test pulmonary","function test lung","test lung function"
"d012134","respiratory protective devices","respirator industrial","gas mask","air purifying respirator"
"d000076522","retention in care","care retention"
"d065287","robotic surgical procedures","procedure robot enhanced","robot enhanced surgery","robot enhanced surgeries"
"d012389","root canal obturation","obturation endodontic"
"d018915","root canal preparation",
"d012390","root canal therapy","therapies root canal"
"d045442","rotarod performance test","rotarod method","rotarod test","rotarod assay"
"d064346","sagittal abdominal diameter","height abdominal","abdominal height supine","index abdominal diameter"
"d057109","scanning laser polarimetry","scanning laser polarimetries"
"d053838","scattering small angle","scattering low angle"
"d000073886","scientific experimental error","error experimental","error scientific","experimental mistake","mistake scientific","error research"
"d024162","second look surgery",
"d052156","selex aptamer technique","systematic evolution of ligands by exponential enrichment"
"d012656","self help devices","assistive technology","assistive technologies","assistive device"
"d012680","sensitivity and specificity","sensitivity","specificity"
"d026421","sensory art therapies",
"d055989","septal occluder device","septal occluder","helex septal occluder","gore helex septal occluder","gorehelex septal occluder","amplatzer septal occluder","amplatzer occluder","amplatzer occluder device","amplatzer septal occluder device","cardioseal septal occluder","cardioseal occluder"
"d017422","sequence analysis dna","sequence analyses dna","dna sequence analysis","dna sequencing","dna sequence determination"
"d020539","sequence analysis protein","sequence analyses protein","sequence analysis peptide","sequence analyses amino acid","sequence analysis amino acid","peptide sequence analyses","protein sequence determination","sequence determination amino acid","acid sequencing amino","sequence determination peptide","sequencing protein"
"d017423","sequence analysis rna","sequence analyses rna","analysis rna sequence","rna sequencing","rna sequence determination"
"d015610","serum bactericidal test","test schlichter"
"d012732","sex determination analysis","analyses sex determination","sex determination technique","sex determination technic"
"d057829","sex reassignment procedures","gender confirmation procedure","gender change procedure","gender reassignment procedure","sex change procedure"
"d057830","sex reassignment surgery","sex reassignment surgeries","sex change surgery","sex change surgeries","gender reassignment surgery","gender reassignment surgeries","gender confirmation surgery","gender confirmation surgeries","gender change surgery","gender change surgeries"
"d016626","shadowing technique histology","histology shadowing"
"d000077772","shared governance nursing",
"d000079142","shared medical appointments",
"d012780","short wave therapy","short wave therapies","therapy shortwave","shortwave therapies"
"d018434","sickness impact profile",
"d017603","signal detection psychological","signal detection theories","theory signal detection","detection signal psychology","analyses signal detection","analysis signal detection"
"d000071085","single balloon enteroscopy","single balloon endoscopy"
"d016037","single blind method","single masked method","single blind study","single blind studies","single masked study","single masked studies"
"d059010","single cell analysis","analyses single cell"
"d056826","single embryo transfer",
"d000072760","single molecule imaging","single particle imaging","single molecule analysis","single molecule analyses","single particle analysis","analyses single particle","single molecule tracking","single particle tracking","single molecule microscopy","single particle microscopy","microscopies single particle","single molecule spectroscopy","single particle spectroscopy","single particle spectroscopies"
"d059546","sinus floor augmentation","maxillary sinus floor augmentation","sinus augmentation therapy","therapies sinus augmentation"
"d019739","skeletal muscle ventricle",
"d023422","skin irritancy tests","episkin","corrositex"
"d012884","skin window technique","skin window technic","rebuck skin window technique"
"d000072776","slit lamp microscopy","slit lamp examination"
"d017062","small area analysis","variation analysis small area","variation analyses small area","small area analyses","small area studies","small area study","small area variation"
"d052616","solid phase extraction",
"d052617","solid phase microextraction",
"d013027","space maintenance orthodontic","maintenance space"
"d013029","space time clustering",
"d062211","spatio temporal analysis","analyses spatio temporal","spatiotemporal analysis","analyses spatiotemporal","spatial temporal analysis","temporal analyses spatial","geographies space time","geography space time"
"d019265","spectroscopy near infrared","near infrared spectroscopies","nir spectroscopy","nir spectroscopies","spectrometry near infrared","near infrared spectrometries"
"d013059","spectrum analysis raman","raman spectroscopy","raman optical activity spectroscopy","raman scattering"
"d013062","speech articulation tests",
"d013063","speech discrimination tests",
"d013068","speech production measurement",
"d020554","sperm injections intracytoplasmic","icsi"
"d059387","sphenopalatine ganglion block","block pterygopalatine ganglion"
"d062187","spinal cord stimulation",
"d013164","splenorenal shunt surgical","shunt splenorenal"
"d050812","split brain procedure","split brain"
"d013194","staining and labeling","staining","histological labeling"
"d013223","statistics as topic","statistics service","tables and charts as topic","technique indirect estimation","estimation technic indirect","technic indirect estimation","statistical study","statistical studies","estimation technique","multiple classification analysis","multiple classification analyses","area analysis","analyses area"
"d057905","stem cell research","embryonic stem cell research","adult stem cell research"
"d033581","stem cell transplantation",
"d013370","subrenal capsule assay","subrenal capsule xenograft assay"
"d015813","substance abuse detection","substance abuse testing","drug abuse screening","drug abuse testing","drug abuse detection","street drug testing","street drug detection","illicit drug detection","illicit drug testing"
"d066251","subtractive hybridization techniques","hybridization subtractive","hybridization supression subtractive","hybridization supressive subtractive"
"d059405","sun protection factor",
"d020349","surface plasmon resonance",
"d025321","surgery computer assisted","computer assisted surgeries","computer aided surgery","computer aided surgeries","surgery image guided","image guided surgeries"
"d053831","surgical fixation devices","fastener surgical"
"d013514","surgical procedures operative","operative procedure","ghost surgery"
"d019738","surgically created structures",
"d011795","surveys and questionnaires","methodology survey","community survey","repeated rounds of survey","survey","questionnaire design","baseline survey","respondent","randomized response technique","questionnaire","nonrespondent"
"d000072230","sustained virologic response","sustained viral suppression"
"d000071062","sutureless surgical procedures","sutureless repair","sutureless surgery","surgeries sutureless","sutureless repair technique"
"d000078791","tandem affinity purification","chromatography tandem affinity","tandem affinity chromatographies"
"d053719","tandem mass spectrometry","mass spectrometry mass spectrometry"
"d052416","targeted gene repair","targeted mutation repair","targeted gene correction","oligonucleotide directed gene repair"
"d036302","therapeutic human experimentation","research therapeutic"
"d000074389","therapeutic index drug","drug therapeutic indices"
"d013813","therapy computer assisted","computer assisted therapies","protocol directed therapy computer assisted","therapies computer assisted protocol directed"
"d064746","therapy soft tissue",
"d061147","therapy with helminths","helminthic therapy","helminthic therapies"
"d019616","thoracic surgical procedures",
"d013960","thyroid function tests","thyrotroph thyroid hormone sensitivity index","sum activity of peripheral deiodinases","spina gd","jostel tsh index","jostel thyrotropin index","protein bound iodine test","secretory capacity of the thyroid gland","spina gt"
"d018667","tilt table test",
"d059008","time lapse imaging","time lapsed imaging"
"d061665","time to treatment","door to treatment time","delayed treatment","treatment delay"
"d046888","tissue array analysis","tissue array analyses","analyses cell microarray","analysis cell microarray","microarray analyses cell","tissue microarray analysis","tissue microarray analyses","analyses cell array","analysis cell array"
"d014016","tissue conditioning dental",
"d046509","tissue culture techniques",
"d015625","tissue expansion devices","expander tissue","vacuum tissue expander"
"d014023","tissue therapy historical","biogenic stimulator","historical cell therapy"
"d014055","tomography emission computed","computed tomographic scintigraphy","computerized emission tomography","ct scan radionuclide","tomography radionuclide computed","tomography radionuclide computerized","radionuclide computed tomography","radionuclide emission computed tomography","radionuclide cat scan","computer assisted tomographies radionuclide","computer assisted tomography radionuclide","tomographies radionuclide computer assisted"
"d041623","tomography optical coherence","oct tomography"
"d036542","tomography spiral computed","computer assisted tomography spiral","tomography spiral computerized","scan spiral ct","ct helical","ct spiral","cat scan spiral","computed tomography helical"
"d014056","tomography x ray","tomography radiographic","tomography transmission","zonography","xray tomography"
"d014087","tooth movement techniques","movement orthodontic tooth","uprighting tooth","minor tooth movement","intrusion tooth","depression tooth"
"d019231","tooth preparation prosthodontic",
"d059145","total disc replacement","arthroplasty replacement disk","total disk replacement","disk replacement artificial","arthroplasties total disc","arthroplasty total disc","arthroplasties total disk","arthroplasty total disk","arthroplasty replacement disc","artificial disc replacement"
"d014109","total lung capacity","total lung capacities"
"d023382","toxicity tests acute",
"d036401","toxicity tests chronic",
"d059551","toxicity tests subacute",
"d059550","toxicity tests subchronic",
"d000071061","traditional pulse diagnosis","pulse diagnoses traditional","traditional pulse reading"
"d000067369","transanal endoscopic microsurgery","transanal endoscopic microsurgeries"
"d000067368","transanal endoscopic surgery","transanal endoscopic surgeries","transanal endoscopic surgical procedures","transanal minimally invasive surgery","tamis"
"d050781","transcranial magnetic stimulation","transcranial magnetic stimulation single pulse","transcranial magnetic stimulation paired pulse","transcranial magnetic stimulation repetitive"
"d057769","transmyocardial laser revascularization","laser revascularization trans myocardial","trans myocardial laser revascularization"
"d014187","transportation of patients","patients transportation","transport wounded and sick","transport of wounded and sick"
"d062086","transtympanic micropressure treatment","therapy meniett","massage tympanic membrane"
"d015599","trauma severity indices","severity indexes trauma","index trauma severity"
"d014209","treponema immobilization test",
"d059708","ultrasonic surgical procedures","surgeries ultrasonic","surgery ultrasonic"
"d018615","ultrasonography doppler color","ultrasonography doppler color"
"d018616","ultrasonography doppler duplex","ultrasonography doppler duplex"
"d018617","ultrasonography doppler pulsed","ultrasonography doppler pulsed"
"d017585","ultrasonography doppler transcranial","transcranial sonography doppler","neurosonology","neurosonologies"
"d016476","urinary reservoirs continent","colonic urinary reservoir"
"d016741","urinary sphincter artificial","artificial genitourinary sphincter"
"d059349","urine specimen collection","collection urine"
"d013519","urogenital surgical procedures",
"d013520","urologic surgical procedures","urological surgical procedure","procedure urologic surgical"
"d055357","uterine artery embolization",
"d058738","uterine balloon tamponade",
"d014620","vacuum extraction obstetrical","extraction obstetric vacuum","deliveries vacuum extraction","extraction delivery vacuum"
"d014629","vagotomy proximal gastric","vagotomies proximal gastric","highly selective vagotomies","highly selective vagotomy","vagotomies highly selective","vagotomy parietal cell","parietal cell vagotomies","vagotomy selective proximal","vagotomies selective proximal"
"d055536","vagus nerve stimulation","nerve stimulation vagal"
"d062666","vascular access devices","catheter port","reservoir venous","port vascular access","catheter vascular","intra arterial line","arterial line","port a cath","portacath"
"d065506","vascular closure devices","closure patches vascular","catheterization closure device"
"d014656","vascular surgical procedures",
"d063986","vascularized composite allotransplantation","composite tissue allotransplantation","vascularized composite allografting","composite tissue allografting"
"d016306","vena cava filters","inferior vena cava filter","filter umbrella"
"d014692","ventilation perfusion ratio",
"d000076665","ventilation perfusion scan","v q scintigraphy","v q scintigraphies","ventilation perfusion scintigraphy","ventilation perfusion scintigraphies","vq lung scan","ventilation perfusion lung scan"
"d015919","ventilators negative pressure","negative pressure respirator","negative pressure ventilator","ventilator negative pressure pulmonary","tank ventilator"
"d015646","ventriculography first pass","first pass ventriculographies","radionuclide ventriculography first pass","first pass radionuclide ventriculographies","first pass radionuclide angiography","radionuclide angiographies first pass"
"d014724","vestibular function tests",
"d020535","video assisted surgery","surgeries video assisted"
"d010948","viral plaque assay","assay bacteriophage plaque"
"d064232","visual analog scale",
"d058609","visual field tests","exam visual field","campimetry","campimetries","tangent screen exam","perimetry","perimetries","automated perimetry exam"
"d065927","waist height ratio","height weight ratio","waist to height ratio"
"d049629","waist hip ratio","waist to hip ratio"
"d000076251","wearable electronic devices","technologies wearable","technology wearable","device wearable","skin electronic"
"d014894","weights and measures","measure","scales"
"d014915","whole body counting","counter whole body"
"d051598","whole body imaging","whole body scanning","whole body scan","whole body screening"
"d014916","whole body irradiation","radiation whole body","irradiation total body"
"d000073359","whole exome sequencing","exome sequencing complete","sequencing whole transcriptome","sequencing complete transcriptome"
"d000073336","whole genome sequencing","genome sequencing complete"
"d014938","work capacity evaluation",
"d014939","work of breathing","breathing work"
"d058106","wound closure techniques","closure technique surgical","technique surgical closure"
"d014961","x ray diffraction","xray diffraction"
"d014962","x ray film","radiographic film","xray film"
"d055114","x ray microtomography","microct","micro cat scan x ray","tomography x ray micro computed","microct xray","micro ct scan x ray","tomography x ray microcomputed","microct x ray","micro ct xray","tomography microcomputed","micro ct x ray"
"d014964","x ray therapy","therapies x ray","xray therapy","therapies xray","roentgenotherapy","roentgenotherapies"
"d017388","zygote intrafallopian transfer","zift","prost","pronuclear stage transfer","pronuclear stage tubal transfer"
"d058107","abdominal wound closure techniques","abdominal closure technique"
"d000067399","abnormal involuntary movement scale",
"d000203","activities of daily living","adl","activities daily living","living activity daily","chronic limitation of activity"
"d000304","adrenal cortex function tests",
"d022561","advanced cardiac life support",
"d000365","age determination by skeleton","skeletal maturation index","skeletal maturation indices","age measurement bone","age measurement skeletal"
"d000366","age determination by teeth",
"d053000","analytic sample preparation methods",
"d000713","anastomosis roux en y","roux en y loop","anastomoses roux en y","roux en y diversion"
"d017222","angioplasty balloon laser assisted","laser balloon angioplasties","angioplasties laser assisted","angioplasty laser assisted","angioplasty transluminal percutaneous laser","angioplasties laser assisted balloon","laser assisted balloon angioplasty","percutaneous transluminal laser angioplasty"
"d059549","anterior cruciate ligament reconstruction",
"d000971","antineoplastic combined chemotherapy protocols","antineoplastic combined chemotherapy regimens","anticancer drug combination","antineoplastic drug combination","protocol antineoplastic chemotherapy","cancer chemotherapy protocol"
"d023241","antiretroviral therapy highly active","haart"
"d038263","auditory brain stem implantation","auditory brainstem implantation"
"d038262","auditory brain stem implants",
"d061249","batch cell culture techniques","shake flask culture","technique batch culture","culture technique fed batch","technique fed batch culture","fed batch culture","continuous batch culture"
"d001662","biliary tract surgical procedures","biliary tract surgical procedure"
"d062005","biopsy large core needle","needle biopsies large core","needle biopsies core","biopsy core needle"
"d001785","blood gas monitoring transcutaneous","cutaneous oximetry","cutaneous oximetries","oximetry transcutaneous","oximetries transcutaneous","oxygen partial pressure determination transcutaneous","transcutaneous capnometry","capnometries transcutaneous","carbon dioxide partial pressure determination transcutaneous","ptco2","tcpco2"
"d015190","blood glucose self monitoring","monitoring home blood glucose","blood sugar self monitoring","home blood glucose monitoring"
"d001788","blood grouping and crossmatching","blood typing","blood grouping","crossmatching blood"
"d018660","blood pressure monitoring ambulatory","self blood pressure monitoring","home blood pressure monitoring"
"d019917","blood vessel prosthesis implantation","prosthesis implantation vascular"
"d046289","body modification non therapeutic","cultural body modification"
"d018780","body surface potential mapping","body surface mapping"
"d001837","body weights and measures",
"d016754","boron neutron capture therapy",
"d055424","cardiac gated imaging techniques","technique ekg triggered imaging"
"d058409","cardiac resynchronization therapy devices","pacemaker artificial biventricular"
"d000080308","cardio ankle vascular index",
"d059168","carotid intima media thickness",
"d054441","cell migration assays leukocyte","migration assay leukocyte","leukocyte migration agarose test","lmat cell migration assay","leukocyte migration agarose test lmat","leukocyte migration capillary tube technique","lmct cell migration assay","leukocyte capillary tube migration test","leukocyte migration capillary tube technique lmct"
"d054442","cell migration assays macrophage","macrophage migration test","macrophage migration inhibition test"
"d061505","cell surface display techniques","technique phage display"
"d010478","chemotherapy cancer regional perfusion","isolation perfusion cancer chemotherapy","perfusion cancer chemotherapy regional"
"d002851","chromatography high pressure liquid","hplc","chromatography high speed liquid","chromatography high performance liquid"
"d020374","chromatography micellar electrokinetic capillary","mekc","mecc"
"d061885","chromophore assisted light inactivation","chromophore assisted laser inactivation","fluorophore assisted light inactivation","cali technique"
"d000068456","clinical studies as topic",
"d002986","clinical trials as topic",
"d003114","colony forming units assay","clonogenic cell assay","stem cell assay"
"d003143","communication aids for disabled","communication aids for handicapped","telecommunication device text","tty telephone","text telephone","tdd","communication board","speech synthesizer","text telecommunication"
"d015941","complement hemolytic activity assay","hemolytic titration assay","assay ch50","titer whole complement","complement total hemolytic","complement h50","ch50","serum complement titer"
"d054893","cone beam computed tomography","ct scan cone beam","computed tomography volume","ct volumetric","computed tomography volumetric","cat scan cone beam","computer assisted tomography cone beam","tomography cone beam computer assisted","cone beam computerized tomography","cone beam ct","volume ct"
"d003262","contact lenses extended wear","contact lens extended wear"
"d003266","continuity of patient care","care continuity patient","continuum of care","care continuum","continuity of care","care continuity"
"d045422","continuous positive airway pressure","cpap ventilation","biphasic continuous positive airway pressure","bilevel continuous positive airway pressure","nasal continuous positive airway pressure","ncpap ventilation","airway pressure release ventilation","aprv ventilation mode"
"d000079664","continuous renal replacement therapy","continuous rrt","continuous renal replacement procedure","crrt technique","venovenous hemodiafiltration continuous","cvvhdf","continuous veno venous hemodiafiltration","slow continuous ultrafiltration","scuf technique","venovenous hemofiltration continuous","cvvh technique","continuous veno venous hemofiltration","continuous arteriovenous hemofiltration","continuous arterio venous ultrafiltration","cavhd","continuous venovenous hemodialyses","venovenous hemodialysis continuous","cvvhd","continuous veno venous hemodialysis","continuous veno venous hemodialyses"
"d065187","controlled before after studies","before after study controlled","cba studies","controlled before and after studies"
"d061887","conversion to open surgery","conversion to an open surgical procedure","conversion to an open procedure"
"d012048","correction of hearing impairment","hearing impairment correction","aural rehabilitation","aural habilitation","habilitation of hearing impaired","hearing impaired habilitation","correction of auditory perception","auditory perception correction","habilitation of hearing impairment","hearing impairment habilitation","rehabilitation of hearing impairment","hearing impairment rehabilitation","correction of hearing loss","hearing loss correction","hearing impaired rehabilitation","rehabilitation of hearing impaired","audiologic rehabilitation","audiologic habilitation"
"d016895","culture media serum free","serum free media","protein free media","low serum media"
"d058645","denaturing gradient gel electrophoresis","temperature gradient gel electrophoresis"
"d057087","dental atraumatic restorative treatment",
"d016321","dental care for aged","dentistry for aged","dental care for elderly"
"d019140","dental care for children","dentistry for children"
"d003730","dental care for disabled","dental care for handicapped","dentistry for disabled","dentistry for handicapped"
"d003732","dental caries activity tests",
"d003742","dental devices home care","floss dental"
"d003754","dental high speed equipment",
"d003755","dental high speed technique","dental technic high speed","technic high speed dental"
"d059605","dental implant abutment design","dental implant abutment interface","connection dental implant abutment","morse taper dental implant abutment interface","morse taper dental implant abutment connection","dental implant platform switching"
"d003759","dental implantation endosseous endodontic","endosseous implantation endodontic","endodontic stabilization"
"d019250","dental implants single tooth","implant single tooth","single tooth dental implant"
"d019094","dental prosthesis implant supported","prostheses implant supported dental","denture implant supported"
"d057111","descemet stripping endothelial keratoplasty",
"d019937","diagnostic techniques and procedures","diagnostic technics and procedures"
"d003938","diagnostic techniques digestive system","technique digestive system diagnostic"
"d003948","diagnostic techniques respiratory system","technique respiratory system diagnostic"
"d059328","diffuse noxious inhibitory control",
"d038524","diffusion magnetic resonance imaging","diffusion mri","diffusion weighted mri"
"d013505","digestive system surgical procedures","surgical procedure gastrointestinal"
"d052978","disk diffusion antimicrobial tests","etest","kirby bauer disk diffusion method"
"d004307","dose response relationship radiation",
"d059788","dried blood spot testing","dried blood spot analysis","dried blood spot method"
"d004354","drug screening assays antitumor","test cancer drug","screen antitumor drug","screen anti cancer drug","dye exclusion assays antitumor"
"d004360","drug therapy computer assisted","therapies computer assisted drug","protocol drug therapy computer assisted"
"d000080903","dual anti platelet therapy","anti platelet therapies dual"
"d055088","early detection of cancer","cancer early detection","cancer screening","test cancer screening","early diagnosis of cancer","cancer early diagnosis"
"d000074388","early goal directed therapy","early goal directed therapies"
"d055615","electrical equipment and supplies","electronic equipment and supplies"
"d004578","electron spin resonance spectroscopy","paramagnetic resonance","resonance electron paramagnetic","resonance electron spin","endor","electron nuclear double resonance"
"d016521","electrophoresis gel pulsed field","electrophoresis pulsed field gel","electrophoresis gel pulsed field","field inversion gel electrophoresis","electrophoresis orthogonal field alternation gel","contour clamped homogeneous field gel electrophoresis"
"d015180","electrophoresis gel two dimensional","2 d gel electrophoresis","electrophoresis 2d gel","2 d polyacrylamide gel electrophoresis","2d page","polyacrylamide gel electrophoresis 2d","polyacrylamide gel electrophoresis two dimensional"
"d024202","electrophoretic mobility shift assay","emsa electrophoretic technique","band shift mobility assay","mobility shift assay","bandshift mobility assay","assay supershift mobility","analyses gel shift","analysis gel shift","gelshift analysis","gel retardation assay"
"d000080482","enhanced recovery after surgery","postsurgical recoveries enhanced","recovery enhanced postsurgical"
"d004797","enzyme linked immunosorbent assay","elisa"
"d058501","enzyme linked immunospot assay","elispot"
"d017248","enzyme multiplied immunoassay technique","emit assay"
"d004865","equipment and supplies hospital","hospital supplies","hospital supply","hospital equipment"
"d000078338","equipment and supplies utilization","equipment utilization","supplies utilization"
"d000074099","equivalence trials as topic",
"d005069","evaluation studies as topic","evaluation report","critique","evaluation research","use effectiveness","pre post test","qualitative evaluation","quantitative evaluation","theoretical effectiveness","evaluation indexes","methodology evaluation","evaluation methodologies"
"d005078","exchange transfusion whole blood",
"d000078336","facilities and services utilization","facilities utilization","services utilization"
"d005186","fallopian tube patency tests",
"d063285","fibrin clot lysis time","clot lysis time","plasma clot lysis time","whole blood clot lysis time","euglobulin lysis time","euglobulin clot lysis time"
"d036681","fluorescence recovery after photobleaching","frap fluorescence recovery after photobleaching","fluorescence photobleaching recovery"
"d031541","fluorescence resonance energy transfer","forster resonance energy transfer"
"d019085","fluorescent antibody technique direct","fluorescent antibody technic direct","immunofluorescence technique direct","immunofluorescence antibody test direct","direct immunofluorescence assay","direct immunofluorescence technic","immunofluorescence direct"
"d019084","fluorescent antibody technique indirect","indirect fluorescent antibody technic","immunofluorescence technique indirect","immunofluorescence antibody test indirect","indirect immunofluorescence assay","indirect immunofluorescence technic","immunofluorescence indirect"
"d005540","forced expiratory flow rates",
"d056973","four dimensional computed tomography","4d computed tomography","4d ct","four dimensional cat scan","ct four dimensional","four dimensional ct scan","cat scan 4d","ct scan 4d"
"d008401","gas chromatography mass spectrometry","gcms","spectrometries mass gas chromatography","spectrum analysis mass gas chromatography","spectrometry gas chromatography mass","chromatography gas liquid mass spectrometry","chromatography mass spectrometry gas liquid"
"d015637","gated blood pool imaging","equilibrium radionuclide ventriculographies","radionuclide ventriculography equilibrium","blood pool scintigraphies gated","blood pool scintigraphy gated","scintigraphies gated blood pool","gated equilibrium blood pool scintigraphy","equilibrium radionuclide angiocardiography","radionuclide angiocardiographies equilibrium","gated radionuclide ventriculographies","gated radionuclide ventriculography","ventriculographies gated radionuclide","scintigraphy equilibrium","equilibrium scintigraphies","angiography gated radionuclide","radionuclide angiographies gated","blood pool scintigraphy","blood pool scintigraphies","equilibrium radionuclide angiography","radionuclide angiographies equilibrium"
"d055879","gene knock in techniques","knock in gene"
"d055106","genome wide association study","studies genome wide association","whole genome association analysis","gwa study","gwa studies","genome wide association scan","genome wide association analysis","whole genome association study"
"d016557","guided tissue regeneration periodontal",
"d019918","heart valve prosthesis implantation",
"d019650","hematopoietic stem cell mobilization","stem cell mobilization"
"d018380","hematopoietic stem cell transplantation",
"d006611","high frequency jet ventilation",
"d059014","high throughput nucleotide sequencing","next generation sequencing","ion torrent sequencing","ion proton sequencing","deep sequencing","high throughput rna sequencing","massively parallel sequencing","pyrosequencing","illumina sequencing","high throughput dna sequencing"
"d057166","high throughput screening assays","high throughput screening method","assay high throughput biological","assay high throughput chemical"
"d000080048","hot melt extrusion technology","hot melt extrusion"
"d061809","human papillomavirus dna tests",
"d000079782","hybrid renal replacement therapy","hybrid rrt","sustained low efficiency dialysis","sustained low efficiency dialyses","sled technique","hybrid extracorporeal therapy","extracorporeal therapies hybrid","dialysis extended daily","extended daily dialyses","sustained low efficiency daily dialysis","sledd technique","sustained low efficiency daily diafiltration","sleddf"
"d007090","image interpretation computer assisted",
"d057893","immediate dental implant loading","early dental implant loading"
"d017404","in situ hybridization fluorescence","hybridization in situ fluorescent","fish technique","fish technic"
"d062325","intense pulsed light therapy",
"d057194","intention to treat analysis",
"d059425","interferon gamma release tests","assay interferon gamma release","release assay interferon gamma"
"d048228","intermittent pneumatic compression devices","stocking pneumatic compression","hose pneumatic","compression hose pneumatic"
"d007384","intermittent positive pressure breathing","intermittent positive pressure breathing ippb","inspiratory positive pressure breathing","ippb"
"d007385","intermittent positive pressure ventilation","ippv","inspiratory positive pressure ventilation","biphasic intermittent positive airway pressure"
"d000079763","intermittent renal replacement therapy","intermittent rrt","irrt technique","venovenous hemofiltration accelerated","accelerated veno venous hemofiltration","veno venous hemofiltration accelerated","hemodiafiltration intermittent venovenous","intermittent veno venous hemodiafiltration","prolonged intermittent renal replacement therapy","pirrt"
"d007394","international system of units","systeme international dunites"
"d065186","interrupted time series analysis","interrupted time series","its studies"
"d007423","intra aortic balloon pumping","pumping intraaortic balloon"
"d017387","investigational new drug application",
"d016381","islets of langerhans transplantation","islands of pancreas transplantation","transplantation islet"
"d060127","kangaroo mother care method","care kangaroo mother"
"d049008","keratectomy subepithelial laser assisted","lasek","laser assisted sub epithelial keratomileusis","laser assisted subepithelial keratomileusis","keratectomies subepithelial photorefractive","keratectomy subepithelial photorefractive","laser assisted subepithelial keratectomies","subepithelial keratectomy laser assisted"
"d020731","keratomileusis laser in situ","laser assisted stromal in situ keratomileusis","laser intrastromal keratomileusis","intrastromal keratomileuses laser","lasik"
"d007957","leukocyte adherence inhibition test","lai test"
"d023441","local lymph node assay","llna"
"d000075523","long acting reversible contraception",
"d059012","lost to follow up",
"d055810","lot quality assurance sampling","lqas"
"d028022","low level light therapy","therapies low level light","photobiomodulation therapies","therapy photobiomodulation","lllt","laser therapy low level","laser therapies low level","laser irradiation low power","low power laser therapy","laser therapies low power","laser biostimulation","laser phototherapy"
"d008150","lower body negative pressure","lbnp","abdominal decompression"
"d007959","lymphocyte culture test mixed","leukocyte culture test mixed","mixed lymphocyte reaction","mixed leukocyte reaction"
"d019028","magnetic resonance imaging cine","cine mri"
"d053783","magnetic resonance imaging interventional","mri interventional","mr guided interventional procedures","magnetic resonance guided interventional procedures"
"d008400","mass chest x ray","mass chest xray"
"d062145","maternal serum screening tests",
"d008448","maximal expiratory flow rate","forced expiratory flow 200 1200","mefr","forced expiratory flow 02 12"
